Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,269.19,0.04,0,-13.85,-523.617,36.666,C
1,2,4,5,107.07,0,0,-1.02,-52.066,36.666,C
1,2,5,6,240.24,0,0,2.45,-188.023,147.527,C
1,2,6,7,137.21,0.03,0,27.25,-53.694,147.527,C
1,2,7,8,207.97,0.07,0,-37.96,-80.68,255.933,C
1,2,8,9,178.24,0.11,0,0.83,-43.216,255.933,C
1,2,9,10,0.07,0,0,22.39,-0.446,9999,C
1,2,10,11,0.06,0,0,-10.02,-0.258,9999,C
1,2,11,12,183.74,0.16,0,5.12,-15.152,256.467,C
1,2,12,13,-7779.37,2.31,0,10.2,481.119,256.467,C
1,2,13,14,7.64,130.74,0,17.65,-14.169,9999,C
1,2,14,15,0.07,0,0,-11.72,-0.105,9999,C
1,2,15,16,211.77,0.35,0,-2.46,-6.346,256.996,C
1,2,16,17,149.12,0.36,0,-3,-3.63,256.996,C
1,2,17,18,139.9,0.18,0,8.04,-2.744,251.361,C
1,2,18,19,113.41,0.39,0,-0.15,-1.853,251.361,C
1,2,19,20,111.14,0.22,0,-18.58,-1.532,251.823,C
1,2,20,21,112.04,0.15,0,33.11,-1.313,251.823,C
1,2,21,22,159.77,0.24,0,-30.06,-1.631,255.906,C
1,2,22,23,104.58,0.64,0,39.36,-0.922,255.906,C
1,2,23,24,133.45,0.07,0,-57.92,-1.036,259.257,C
2,3,4,5,122.25,0.08,0,-3.85,-82.492,12.72,C
2,3,5,6,293.75,0.06,0,3.67,-49.555,12.72,C
2,3,6,7,150.49,0.03,0,32.04,-66.679,83.52,C
2,3,7,8,235.92,0.05,0,-43.2,-52.267,83.52,C
2,3,8,9,196.73,0.04,0,0.85,-71.769,240.673,C
2,3,9,10,235.61,0.09,0,24.14,-53.719,240.673,C
2,3,10,11,180.13,0.05,0,-11.92,-28.097,246.974,C
2,3,11,12,205.03,0.14,0,5.52,-22.387,246.974,C
2,3,12,13,174.13,0.11,0,120.77,-13.893,248.143,C
2,3,13,14,138.13,0.18,0,-130.19,-8.265,248.143,C
2,3,14,15,188.12,0.04,0,-11.44,-8.758,250.994,C
2,3,15,16,245.85,0.13,0,-2.8,-8.993,250.994,C
2,3,16,17,187.88,0.22,0,-2.73,-5.56,253.816,C
2,3,17,18,158.39,0.17,0,8.02,-3.808,253.816,C
2,3,18,19,140.51,0.36,0,-0.06,-2.814,256.65,C
2,3,19,20,124.6,0.2,0,-18.71,-2.079,256.65,C
2,3,20,21,153.47,0.19,0,33.34,-2.175,258.8,C
2,3,21,22,172.63,0.36,0,-30.43,-2.079,258.8,C
2,3,22,23,149.8,0.12,0,39.83,-1.561,261.241,C
2,3,23,24,130.7,0.46,0,-58.34,-1.176,261.241,C
3,4,2,1,276.25,4.28,0,142.4,41.949,2.862,C
3,4,5,6,345.72,0,0,-0.78,-337.588,18.406,C
3,4,6,7,205.16,0.03,0,31.42,-50.083,18.406,C
3,4,7,8,352.36,0.03,0,-42.92,-122.717,65.648,C
3,4,8,9,296.88,0.03,0,0.72,-51.697,65.648,C
3,4,9,10,368.13,0.04,0,25.2,-111.997,200.714,C
3,4,10,11,277.23,0.06,0,-11.98,-52.715,200.714,C
3,4,11,12,333,0.08,0,6.14,-61.732,293.529,C
3,4,12,13,285.6,0.07,0,98.04,-37.061,293.529,C
3,4,13,14,231.84,0.09,0,-105.19,-22.117,296.702,C
3,4,14,15,308.45,0.12,0,-11.48,-22.069,296.702,C
3,4,15,16,445.58,0.09,0,-2.37,-24.769,299.669,C
3,4,16,17,306.51,0.1,0,-2.89,-13.387,299.669,C
3,4,17,18,0.11,0,0,8.22,-0.124,9999,C
3,4,18,19,0.1,0,0,-0.37,-0.099,9999,C
3,4,19,20,250.2,0.16,0,-18.32,-5.805,297.383,C
3,4,20,21,240.56,0.18,0,33.15,-4.651,297.383,C
3,4,21,22,0.12,0,0,-30.55,-0.064,9999,C
3,4,22,23,0.12,0,0,39.86,-0.057,9999,C
3,4,23,24,296.1,0.24,0,-58.53,-3.481,294.735,C
4,5,1,2,107.47,0.25,0,191.97,-48.138,33.773,C
